title,price,location,Tình trạng,Năm sản xuất,Xuất xứ,Động cơ,Kiểu dáng,Hộp số,Số Km đã đi,Dẫn động,Màu ngoại thất,Màu nội thất,Số cửa,Số chỗ ngồi
Xe VinFast VF3 Plus	2024,225 Triệu,"45, 46 D11, Glemxico, Lê Trọng Tấn, Hoài Đức, Hà Nội Hà Nội",Xe đã dùng,2024,Trong nước,Điện,Hatchback,Số tự động,"30,000 Km",RFD - Dẫn động cầu sau,Xanh,Ghi,3 cửa,4 chỗ
Xe VinFast VF9 Eco 6S SDI	2023,935 Triệu,238 Cự Khối Long Biên Hà Nội Hà Nội,Xe đã dùng,2023,Trong nước,Điện,SUV,Số tự động,"23,000 Km",AWD - 4 bánh toàn thời gian,Xanh,Đen,5 cửa,6 chỗ
Xe Hyundai Avante 1.6 AT	2014,235 Triệu,Hà Đông Hà Nội,Xe đã dùng,2014,Trong nước,Xăng 1.6 L,Sedan,Số tự động,"79,000 Km",FWD - Dẫn động cầu trước,Bạc,Ghi,4 cửa,5 chỗ
Xe Kia Carens 1.5G IVT	2023,565 Triệu,"Tổ 2, Phường Thịnh Đán, Tp Thái Nguyên Thái Nguyên",Xe đã dùng,2023,Trong nước,Xăng 1.5 L,SUV,Số tự động,"56,000 Km",FWD - Dẫn động cầu trước,Trắng,Đen,5 cửa,7 chỗ
Xe Audi R8 4.2 V8	2007,3 Tỷ 150 Triệu,"Số 24-26 Lô 03 Geleximco Lê Trọng Tấn, Dương Nội Hà Nội",Xe đã dùng,2007,Nhập khẩu,Xăng 4.2 L,Coupe,Số tự động,-,AWD - 4 bánh toàn thời gian,Trắng,Đen,2 cửa,2 chỗ
Xe Hyundai Accent 1.4 ATH	2020,405 Triệu,"Ngã tư Cách Thượng, Nam Sơn, An Dương, Hải Phòng Hải Phòng",Xe đã dùng,2020,Trong nước,Xăng 1.4 L,Sedan,Số tự động,-,FWD - Dẫn động cầu trước,Trắng,Nhiều màu,4 cửa,5 chỗ
Xe Mercedes Benz C class C200 Exclusive	2019,839 Triệu,"53 đường số 85, Tân Quy, Quận 7 TP HCM",Xe đã dùng,2019,Trong nước,Xăng 1.5 L,Sedan,Số tự động,"37,000 Km",RFD - Dẫn động cầu sau,Đen,Kem,4 cửa,5 chỗ
Xe Mercedes Benz GLC 200 4Matic	2022,1 Tỷ 489 Triệu,"53 đường số 85, Tân Quy, Quận 7 TP HCM",Xe đã dùng,2022,Trong nước,Xăng 2.0 L,SUV,Số tự động,"41,600 Km",AWD - 4 bánh toàn thời gian,Đen,Đen,5 cửa,5 chỗ
Xe Mercedes Benz GLC 200	2019,939 Triệu,"53 đường số 85, Tân Quy, Quận 7 TP HCM",Xe đã dùng,2019,Trong nước,Xăng 2.0 L,SUV,Số tự động,"42,000 Km",RFD - Dẫn động cầu sau,Trắng,Nâu,5 cửa,5 chỗ
Xe Mercedes Benz GLC 200	2021,1 Tỷ 239 Triệu,"53 đường số 85, Tân Quy, Quận 7 TP HCM",Xe đã dùng,2021,Trong nước,Xăng 2.0 L,SUV,Số tự động,"54,000 Km",RFD - Dẫn động cầu sau,Đen,Đen,5 cửa,5 chỗ
Xe Mercedes Benz E class E200	2019,1 Tỷ 59 Triệu,"53 đường số 85, Tân Quy, Quận 7 TP HCM",Xe đã dùng,2019,Trong nước,Xăng 2.0 L,Sedan,Số tự động,"68,000 Km",RFD - Dẫn động cầu sau,Đen,Nâu,4 cửa,5 chỗ
Xe Mercedes Benz GLC 200	2020,1 Tỷ 150 Triệu,"36/70/21 nguyễn gia tri , thạnh mỹ tây TP HCM",Xe đã dùng,2020,Trong nước,Xăng 2.0 L,SUV,Số tự động,"23,000 Km",RFD - Dẫn động cầu sau,Xám,Đen,5 cửa,5 chỗ
Xe Jaecoo J7 PHEV 1.5T AT	2025,879 Triệu,"Số 1 Trịnh Văn Bô , Xuân Phương, Nam Từ Liêm, HN Hà Nội",Xe mới,2025,Nhập khẩu,Hybrid 1.5 L,SUV,Số tự động,-,FWD - Dẫn động cầu trước,Trắng,Đen,5 cửa,5 chỗ
Xe VinFast VF8 Eco	2025,899 Triệu,"Ocean Park, Gia Lâm Hà Nội",Xe mới,2025,Trong nước,Điện,SUV,Số tự động,-,FWD - Dẫn động cầu trước,Xanh,Đen,5 cửa,5 chỗ
Xe Mercedes Benz GLS 450 4Matic	2022,4 Tỷ 179 Triệu,Số 19 lô 15B Lê Hồng Phong - Hải An Hải Phòng,Xe đã dùng,2022,Nhập khẩu,Xăng 3.0 L,SUV,Số tự động,"39,000 Km",AWD - 4 bánh toàn thời gian,Đen,Đen,5 cửa,7 chỗ
Xe Honda City L 1.5 AT	2022,435 Triệu,"Nghĩa Tân, Nghĩa Đô Hà Nội",Xe đã dùng,2022,Trong nước,Xăng 1.5 L,Sedan,Số tự động,"70,000 Km",FWD - Dẫn động cầu trước,Trắng,Đen,4 cửa,5 chỗ
