price_million,km,year,brand,model,transmission,fuel_type,body_type,origin,condition,seats,city,engine,engine_missing,source,age,km_per_year,is_luxury,transmission_encoded,fuel_type_encoded,origin_encoded,condition_encoded,source_encoded,brand_freq,model_freq,city_freq,body_type_freq
260.0,130.0,2010.0,Ford,Escape,AT,Xăng,SUV / Cross over,Trong nước,Cũ,5.0,Bến Tre,0.0,1,chotot,15.0,8.666666666666666,0,0,2,1,0,1,0.11155296537538567,0.0018512170037709977,0.0007541995200548508,0.10010284538909839
365.0,210000.0,2019.0,Hyundai,Elantra,MT,Xăng,Sedan,Trong nước,Cũ,5.0,Đà Nẵng,0.0,1,chotot,6.0,35000.0,0,1,2,1,0,1,0.08947548851559822,0.004593760713061365,0.02228316763798423,0.2631470689064107
195.0,250000.0,2012.0,Ford,Transit,MT,Dầu,Van,Nhập khẩu,Cũ,2.0,Hà Nội,0.0,1,chotot,13.0,19230.76923076923,0,1,0,0,0,1,0.11155296537538567,0.006787795680493658,0.4966746657524854,0.011107302022625986
105.0,12000.0,2004.0,Ford,Laser,AT,Xăng,Sedan,Trong nước,Cũ,5.0,Hà Nội,0.0,1,chotot,21.0,571.4285714285714,0,0,2,1,0,1,0.11155296537538567,0.001165581076448406,0.4966746657524854,0.2631470689064107
299.0,0.0,2025.0,VinFast,VF5 Plus,AT,Điện,SUV,Trong nước,Mới,5.0,unknow,0.0,1,chotot,0.0,0.0,0,0,3,1,1,1,0.07302022625985602,0.007953376756942064,0.009324648611587247,0.3407610558793281
165.0,130000.0,2002.0,Toyota,Corolla Altis,MT,Xăng,Sedan,Trong nước,Cũ,5.0,Hậu Giang,0.0,1,chotot,23.0,5652.173913043478,0,1,2,1,0,1,0.1615358244772026,0.0034281796366129585,0.0005485087418580734,0.2631470689064107
72.0,82.0,2015.0,Chevrolet,Spark,MT,Xăng,Van,Nhập khẩu,Cũ,2.0,unknow,0.0,1,chotot,10.0,8.2,0,1,2,0,0,1,0.020157696263284196,0.00575934178950977,0.009324648611587247,0.011107302022625986
395.0,83790.0,2015.0,Toyota,Innova,AT,Xăng,Minivan (MPV),Trong nước,Cũ,8.0,Hồ Chí Minh,0.0,1,chotot,10.0,8379.0,0,0,2,1,0,1,0.1615358244772026,0.01590675351388413,0.2584161810078848,0.03489886870071992
651.0,75000.0,2021.0,VinFast,Lux SA2.0,AT,Xăng,SUV / Cross over,Trong nước,Cũ,7.0,Hồ Chí Minh,0.0,1,chotot,4.0,18750.0,0,0,2,1,0,1,0.07302022625985602,0.0010970174837161468,0.2584161810078848,0.10010284538909839
515.0,130000.0,2015.0,Toyota,Fortuner,AT,Xăng,SUV / Cross over,Trong nước,Cũ,7.0,unknow,0.0,1,chotot,10.0,13000.0,0,0,2,1,0,1,0.1615358244772026,0.007953376756942064,0.009324648611587247,0.10010284538909839
325.0,57000.0,2021.0,Mitsubishi,Attrage,AT,Xăng,Sedan,Nhập khẩu,Cũ,5.0,Đắk Lắk,0.0,1,chotot,4.0,14250.0,0,0,2,0,0,1,0.049022968803565305,0.0047994514912581415,0.010010284538909838,0.2631470689064107
3399.0,0.0,2025.0,Volkswagen,Touareg,AT,Xăng,SUV / Cross over,Nhập khẩu,Mới,5.0,Hồ Chí Minh,0.0,1,chotot,0.0,0.0,0,0,2,0,1,1,0.011244429208090503,0.00013712718546451835,0.2584161810078848,0.10010284538909839
285.0,487000.0,2007.0,Hyundai,Starex,MT,Dầu,Van,Trong nước,Cũ,8.0,Hà Nội,0.0,1,chotot,18.0,27055.555555555555,0,1,0,1,0,1,0.08947548851559822,0.0008913267055193692,0.4966746657524854,0.011107302022625986
390.0,8700.0,2016.0,Kia,Optima,AT,Xăng,Sedan,Trong nước,Cũ,5.0,Hà Nội,0.0,1,chotot,9.0,966.6666666666666,0,0,2,1,0,1,0.08049365786767226,0.00041138155639355503,0.4966746657524854,0.2631470689064107
146.0,2.0,2018.0,Kia,Morning,MT,Xăng,Hatchback,Trong nước,Cũ,5.0,Bắc Giang,0.0,1,chotot,7.0,0.2857142857142857,0,1,2,1,0,1,0.08049365786767226,0.01076448405896469,0.0023997257456290708,0.0770654782310593
930.0,90000.0,2017.0,Mercedes Benz,GLC,AT,Xăng,SUV / Cross over,Nhập khẩu,Cũ,5.0,Hồ Chí Minh,0.0,1,chotot,8.0,11250.0,1,0,2,0,0,1,0.10078848131642099,0.0016455262255742201,0.2584161810078848,0.10010284538909839
385.0,47000.0,2019.0,Kia,Rondo,AT,Xăng,SUV / Cross over,Trong nước,Cũ,5.0,Hồ Chí Minh,0.0,1,chotot,6.0,7833.333333333333,0,0,2,1,0,1,0.08049365786767226,0.0008913267055193692,0.2584161810078848,0.10010284538909839
820.0,90000.0,2018.0,Mercedes Benz,GLC,AT,Xăng,SUV / Cross over,Trong nước,Cũ,5.0,Hà Nội,0.0,1,chotot,7.0,12857.142857142857,1,0,2,1,0,1,0.10078848131642099,0.0016455262255742201,0.4966746657524854,0.10010284538909839
580.0,45000.0,2022.0,Kia,K3,AT,Xăng,Sedan,Trong nước,Cũ,2.0,Hải Dương,0.0,1,chotot,3.0,15000.0,0,0,2,1,0,1,0.08049365786767226,0.001988344189235516,0.00411381556393555,0.2631470689064107
95.0,20000.0,2011.0,Kia,Morning,MT,Xăng,Hatchback,Nhập khẩu,Cũ,5.0,Hà Nội,0.0,1,chotot,14.0,1428.5714285714287,0,1,2,0,0,1,0.08049365786767226,0.01076448405896469,0.4966746657524854,0.0770654782310593
450.0,34000.0,2022.0,Honda,City,AT,Xăng,Sedan,Trong nước,Cũ,5.0,Đà Nẵng,0.0,1,chotot,3.0,11333.333333333334,0,0,2,1,0,1,0.03770997600274254,0.004456633527596846,0.02228316763798423,0.2631470689064107
870.0,68000.0,2019.0,Ford,Ranger,AT,Dầu,Pick-up (bán tải),Nhập khẩu,Cũ,5.0,Kiên Giang,0.0,1,chotot,6.0,11333.333333333334,0,0,0,0,0,1,0.11155296537538567,0.00918752142612273,0.0013712718546451835,0.01405553651011313
2288.0,0.0,2024.0,Volkswagen,Viloran,AT,Xăng,Van,Trong nước,Mới,7.0,Đắk Lắk,0.0,1,chotot,1.0,0.0,0,0,2,1,1,1,0.011244429208090503,0.0005485087418580734,0.010010284538909838,0.011107302022625986
98.0,21000.0,2004.0,Daewoo,Lanos,MT,Xăng,Sedan,Nhập khẩu,Cũ,5.0,Hồ Chí Minh,0.0,1,chotot,21.0,1000.0,0,1,2,0,0,1,0.0061707233459033254,0.0004799451491258142,0.2584161810078848,0.2631470689064107
260.0,30000.0,2010.0,Toyota,Innova,AT,Xăng,Minivan (MPV),Trong nước,Cũ,7.0,Hà Nội,0.0,1,chotot,15.0,2000.0,0,0,2,1,0,1,0.1615358244772026,0.01590675351388413,0.4966746657524854,0.03489886870071992
555.0,125000.0,2016.0,Hyundai,Santa Fe,AT,Xăng,SUV / Cross over,Trong nước,Cũ,7.0,Hải Phòng,0.0,1,chotot,9.0,13888.888888888889,0,0,2,1,0,1,0.08947548851559822,0.005073705862187179,0.021186150154268085,0.10010284538909839
310.0,69000.0,2022.0,Hyundai,Accent,MT,Xăng,Sedan,Trong nước,Cũ,5.0,Khác,0.0,1,chotot,3.0,23000.0,0,1,2,1,0,1,0.08947548851559822,0.0082276311278711,0.010078848131642098,0.2631470689064107
560.0,72000.0,2020.0,VinFast,Lux A2.0,AT,Xăng,Sedan,Trong nước,Cũ,5.0,Hưng Yên,0.0,1,chotot,5.0,14400.0,0,0,2,1,0,1,0.07302022625985602,0.0026054165238258483,0.0026054165238258483,0.2631470689064107
590.0,3800.0,2025.0,Ford,Ranger,AT,Dầu,Pick-up (bán tải),Trong nước,Cũ,5.0,Hồ Chí Minh,0.0,1,chotot,0.0,0.0,0,0,0,1,0,1,0.11155296537538567,0.00918752142612273,0.2584161810078848,0.01405553651011313
620.0,159000.0,2023.0,Ford,Transit,MT,Dầu,Van,Trong nước,Cũ,16.0,Khác,0.0,1,chotot,2.0,79500.0,0,1,0,1,0,1,0.11155296537538567,0.006787795680493658,0.010078848131642098,0.011107302022625986
600.0,4999.0,2025.0,Ford,Ranger,AT,Dầu,Pick-up (bán tải),Trong nước,Cũ,5.0,Hồ Chí Minh,0.0,1,chotot,0.0,0.0,0,0,0,1,0,1,0.11155296537538567,0.00918752142612273,0.2584161810078848,0.01405553651011313
360.0,143000.0,2016.0,Mazda,6,AT,Xăng,Sedan,Trong nước,Cũ,5.0,Hồ Chí Minh,0.0,1,chotot,9.0,15888.888888888889,0,0,2,1,0,1,0.049022968803565305,0.0021940349674322937,0.2584161810078848,0.2631470689064107
720.0,300.0,2020.0,Mitsubishi,Outlander,AT,Xăng,SUV / Cross over,Trong nước,Cũ,7.0,Hồ Chí Minh,0.0,1,chotot,5.0,60.0,0,0,2,1,0,1,0.049022968803565305,0.0032910524511484403,0.2584161810078848,0.10010284538909839
570.0,20000.0,2018.0,Toyota,Innova,AT,Xăng,Kiểu dáng khác,Trong nước,Cũ,8.0,Hồ Chí Minh,0.0,1,chotot,7.0,2857.1428571428573,0,0,2,1,0,1,0.1615358244772026,0.01590675351388413,0.2584161810078848,0.013369900582790539
225.0,90000.0,2018.0,Hyundai,Grand i10,MT,Xăng,Sedan,Trong nước,Cũ,5.0,Khánh Hòa,0.0,1,chotot,7.0,12857.142857142857,0,1,2,1,0,1,0.08947548851559822,0.005416523825848474,0.0037709976002742542,0.2631470689064107
410.0,150000.0,2022.0,Toyota,Avanza Premio,AT,Xăng,SUV / Cross over,Nhập khẩu,Cũ,7.0,Hồ Chí Minh,0.0,1,chotot,3.0,50000.0,0,0,2,0,0,1,0.1615358244772026,0.001576962632841961,0.2584161810078848,0.10010284538909839
295.0,49000.0,2021.0,VinFast,Fadil,AT,Xăng,Hatchback,Trong nước,Cũ,5.0,Khác,0.0,1,chotot,4.0,12250.0,0,0,2,1,0,1,0.07302022625985602,0.004868015083990401,0.010078848131642098,0.0770654782310593
168.0,150000.0,2009.0,Mitsubishi,Zinger,AT,Xăng,SUV / Cross over,Trong nước,Cũ,8.0,Hà Nội,0.0,1,chotot,16.0,9375.0,0,0,2,1,0,1,0.049022968803565305,0.00034281796366129587,0.4966746657524854,0.10010284538909839
354.0,75000.0,2022.0,Hyundai,Accent,MT,Xăng,Sedan,Trong nước,Cũ,5.0,Bình Dương,0.0,1,chotot,3.0,25000.0,0,1,2,1,0,1,0.08947548851559822,0.0082276311278711,0.026534110387384298,0.2631470689064107
360.0,80000.0,2022.0,Mitsubishi,Attrage,AT,Xăng,Sedan,Nhập khẩu,Cũ,5.0,Đà Nẵng,0.0,1,chotot,3.0,26666.666666666668,0,0,2,0,0,1,0.049022968803565305,0.0047994514912581415,0.02228316763798423,0.2631470689064107
780.0,57000.0,2022.0,Peugeot,5008,AT,Xăng,SUV / Cross over,Nhập khẩu,Cũ,7.0,Bà Rịa,0.0,1,chotot,3.0,19000.0,0,0,2,0,0,1,0.01151868357901954,0.0013712718546451835,0.00747343160781625,0.10010284538909839
80.0,200.0,2015.0,Kia,Morning,MT,Xăng,Hatchback,Trong nước,Cũ,5.0,Quảng Nam,0.0,1,chotot,10.0,20.0,0,1,2,1,0,1,0.08049365786767226,0.01076448405896469,0.0023997257456290708,0.0770654782310593
639.0,79000.0,2021.0,VinFast,Lux SA2.0,AT,Xăng,SUV / Cross over,Trong nước,Cũ,7.0,Hồ Chí Minh,0.0,1,chotot,4.0,19750.0,0,0,2,1,0,1,0.07302022625985602,0.0010970174837161468,0.2584161810078848,0.10010284538909839
145.0,128999.0,2008.0,Hyundai,Getz,AT,Xăng,Hatchback,Nhập khẩu,Cũ,5.0,Hồ Chí Minh,0.0,1,chotot,17.0,7588.176470588235,0,0,2,0,0,1,0.08947548851559822,0.0010284538909838875,0.2584161810078848,0.0770654782310593
95.0,20000.0,2009.0,Daewoo,Matiz,AT,Xăng,Hatchback,Nhập khẩu,Cũ,5.0,Bắc Giang,0.0,1,chotot,16.0,1250.0,0,0,2,0,0,1,0.0061707233459033254,0.0014398354473774426,0.0023997257456290708,0.0770654782310593
660.0,24000.0,2023.0,Mitsubishi,Outlander,AT,Xăng,SUV / Cross over,Trong nước,Cũ,7.0,Cần Thơ,0.0,1,chotot,2.0,12000.0,0,0,2,1,0,1,0.049022968803565305,0.0032910524511484403,0.009667466575248543,0.10010284538909839
510.0,426.0,2025.0,Toyota,Raize,AT,Xăng,Kiểu dáng khác,Nhập khẩu,Cũ,5.0,Đồng Nai,0.0,1,chotot,0.0,0.0,0,0,2,0,0,1,0.1615358244772026,0.0005485087418580734,0.01837504285224546,0.013369900582790539
859.0,0.0,2025.0,Ford,Ranger,AT,Dầu,Pick-up (bán tải),Trong nước,Cũ,5.0,Hồ Chí Minh,0.0,1,chotot,0.0,0.0,0,0,0,1,0,1,0.11155296537538567,0.00918752142612273,0.2584161810078848,0.01405553651011313
100.0,123455.0,2010.0,Daewoo,Lacetti,MT,Xăng,Sedan,Nhập khẩu,Cũ,5.0,Hà Tĩnh,0.0,1,chotot,15.0,8230.333333333334,0,1,2,0,0,1,0.0061707233459033254,0.00246828933836133,0.0016455262255742201,0.2631470689064107
248.0,66666.0,2011.0,BMW,3 Series,AT,Xăng,Sedan,Nhập khẩu,Cũ,5.0,Hồ Chí Minh,0.0,1,chotot,14.0,4761.857142857143,1,0,2,0,0,1,0.03400754199520055,0.0019197805965032568,0.2584161810078848,0.2631470689064107
530.0,0.0,2023.0,Mitsubishi,Xpander Cross,AT,Xăng,SUV / Cross over,Nhập khẩu,Cũ,7.0,Vĩnh Long,0.0,1,chotot,2.0,0.0,0,0,2,0,0,1,0.049022968803565305,0.004525197120329105,0.001165581076448406,0.10010284538909839
460.0,5000.0,2023.0,Mitsubishi,Xpander,MT,Xăng,Minivan (MPV),Trong nước,Cũ,7.0,Hà Nội,0.0,1,chotot,2.0,2500.0,0,1,2,1,0,1,0.049022968803565305,0.012204319506342133,0.4966746657524854,0.03489886870071992
1818.0,46500.0,2024.0,Ford,Explorer,AT,Xăng,SUV / Cross over,Nhập khẩu,Cũ,7.0,Khác,0.0,1,chotot,1.0,46500.0,0,0,2,0,0,1,0.11155296537538567,0.0005485087418580734,0.010078848131642098,0.10010284538909839
450.0,29000.0,2007.0,Volkswagen,Beetle,AT,Xăng,Mui trần,Nhập khẩu,Cũ,5.0,Lâm Đồng,0.0,1,chotot,18.0,1611.111111111111,0,0,2,0,0,1,0.011244429208090503,6.856359273225918e-05,0.007679122386013027,0.00020569077819677752
1329.0,50000.0,2019.0,BMW,5 Series,AT,Xăng,Sedan,Nhập khẩu,Cũ,5.0,Hồ Chí Minh,0.0,1,chotot,6.0,8333.333333333334,1,0,2,0,0,1,0.03400754199520055,0.0009598902982516284,0.2584161810078848,0.2631470689064107
135.0,90000.0,2010.0,Daewoo,Lacetti,AT,Xăng,Sedan,Nhập khẩu,Cũ,5.0,Long An,0.0,1,chotot,15.0,6000.0,0,0,2,0,0,1,0.0061707233459033254,0.00246828933836133,0.003359616043880699,0.2631470689064107
545.0,86000.0,2017.0,Hyundai,Tucson,AT,Xăng,SUV / Cross over,Trong nước,Cũ,7.0,Hà Nội,0.0,1,chotot,8.0,10750.0,0,0,2,1,0,1,0.08947548851559822,0.004525197120329105,0.4966746657524854,0.10010284538909839
